feature,missing_count,missing_pct,unique_count,cardinality_ratio,status
dependents,0,0.0,6,0.0014,PASS
education,0,0.0,2,0.0005,PASS
self_employed,0,0.0,2,0.0005,PASS
annual_income,0,0.0,98,0.023,PASS
loan_amount,0,0.0,378,0.0885,PASS
loan_term,0,0.0,10,0.0023,PASS
cibil_score,0,0.0,601,0.1408,PASS
residential_assets_value,0,0.0,277,0.0649,PASS
commercial_assets_value,0,0.0,188,0.044,PASS
luxury_assets_value,0,0.0,379,0.0888,PASS
bank_asset_value,0,0.0,146,0.0342,PASS
loan_status,0,0.0,2,0.0005,PASS
