Feature,Importance (Mean),Importance (Std),Relative Contribution (%)
cibil_score,0.46797443925533333,0.013112196907331869,94.15847833023638
loan_term,0.021049716348031877,0.0014685752861700796,4.235293841620205
residential_assets_value,0.0035029414679936255,0.0007343005478694436,0.7048069523434024
loan_amount,0.0029956912887069255,0.0005046284082098412,0.6027460254894131
annual_income,0.0008314238570837018,0.0002505769432019723,0.1672860709123978
luxury_assets_value,0.00039530531213374245,0.0001656056445197134,0.07953713609999932
commercial_assets_value,0.00010902963623743434,0.00010960803035762944,0.021937233703088446
bank_asset_value,0.00010611440532202199,4.282909790442812e-05,0.021350676652209178
dependents,2.7986216788222772e-05,7.920849240694019e-05,0.0056309476884941635
self_employed,1.4576154577139455e-05,2.7253901202878756e-05,0.00293278525441199
education,-9.911785112570737e-06,2.086784111779018e-05,0.0
